1|151
2|78
3|159
4|157
5|122
6|102
7|96
8|163
9|165
10|183
11|32
12|92
13|113
14|188
15|3
16|7
17|169
18|158
19|182
20|171
21|30
22|94
23|31
24|54
25|20
26|100
27|99
28|183
29|140
30|149
31|84
32|31
33|16
34|138
35|174
36|77
37|72
38|147
39|97
40|111
41|172
42|35
43|82
44|12
45|139
46|187
47|36
48|12
49|172
50|45
51|136
52|3
53|102
54|122
55|126
56|101
57|77
58|20
59|91
60|178
61|116
62|6
63|140
64|153
65|100
66|121
67|155
68|111
69|17
70|96
71|130
72|35
73|35
74|134
75|36
76|95
77|40
78|73
79|62
80|165
81|118
82|140
83|7
84|107
85|62
86|37
87|150
88|18
89|124
90|60
91|176
92|98
93|40
94|170
95|15
96|142
97|167
98|87
99|42
100|96
101|40
102|80
103|122
104|90
105|16
106|72
107|187
108|137
109|31
110|116
111|16
112|97
113|125
114|13
115|80
116|19
117|180
118|102
119|65
120|166
121|90
122|178
123|163
124|124
125|83
126|178
127|49
128|173
129|37
130|162
131|133
132|20
133|85
134|72
135|100
136|88
137|120
138|92
139|172
140|122
141|90
142|148
143|105
144|70
145|103
146|193
147|133
148|174
149|66
150|60
